"","Timestamp","Age","Primary.streaming.service","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","BPM","Frequency..Classical.","Frequency..Country.","Frequency..EDM.","Frequency..Folk.","Frequency..Gospel.","Frequency..Hip.hop.","Frequency..Jazz.","Frequency..K.pop.","Frequency..Latin.","Frequency..Lofi.","Frequency..Metal.","Frequency..Pop.","Frequency..R.B.","Frequency..Rap.","Frequency..Rock.","Frequency..Video.game.music.","Anxiety","Depression","Insomnia","OCD","Music.effects"
"167","8/28/2022 21:01:18",25,"Spotify",3,"Yes","No","No","Rock","Yes","Yes",180,"Rarely","Never","Sometimes","Sometimes","Never","Rarely","Never","Rarely","Never","Sometimes","Very frequently","Sometimes","Rarely","Rarely","Very frequently","Sometimes",9,6,3,0,"Improve"
"168","8/28/2022 21:03:23",22,"YouTube Music",2,"Yes","No","No","Pop","No","No",120,"Rarely","Never","Rarely","Rarely","Rarely","Rarely","Rarely","Never","Never","Rarely","Never","Very frequently","Rarely","Rarely","Sometimes","Sometimes",7,7,8,3,"Improve"
"169","8/28/2022 21:06:09",19,"Spotify",3,"Yes","No","Yes","Rock","Yes","Yes",76,"Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Rarely","Rarely","Rarely","Rarely","Never","Very frequently","Rarely",9,10,4,0,"Improve"
"170","8/28/2022 21:11:09",44,"Other",3,"Yes","No","No","Folk","Yes","Yes",130,"Rarely","Rarely","Rarely","Very frequently","Rarely","Sometimes","Rarely","Never","Rarely","Sometimes","Never","Rarely","Sometimes","Sometimes","Rarely","Sometimes",9,9,8,2,"Improve"
"171","8/28/2022 21:14:51",26,"Spotify",5,"Yes","Yes","Yes","Metal","Yes","Yes",109,"Sometimes","Rarely","Very frequently","Rarely","Rarely","Rarely","Sometimes","Sometimes","Never","Rarely","Very frequently","Sometimes","Sometimes","Rarely","Sometimes","Sometimes",10,9,8,8,"Improve"
"172","8/28/2022 21:23:07",23,"Other",6,"Yes","No","Yes","Classical","No","Yes",96,"Very frequently","Never","Never","Rarely","Never","Never","Never","Never","Rarely","Never","Never","Rarely","Never","Never","Never","Rarely",6,5,6,8,"Improve"
"173","8/28/2022 21:24:10",17,"Spotify",2,"No","No","No","R&B","No","Yes",148,"Sometimes","Never","Rarely","Never","Never","Very frequently","Rarely","Rarely","Never","Rarely","Never","Sometimes","Very frequently","Sometimes","Never","Rarely",8,6,10,3,"Improve"
"174","8/28/2022 21:28:30",30,"Spotify",1,"No","Yes","No","Rock","Yes","No",129,"Rarely","Never","Rarely","Rarely","Never","Rarely","Rarely","Never","Rarely","Rarely","Rarely","Very frequently","Rarely","Rarely","Very frequently","Rarely",4,2,1,3,"Improve"
"175","8/28/2022 21:30:33",35,"Spotify",1,"Yes","No","No","Pop","Yes","Yes",81,"Sometimes","Rarely","Sometimes","Rarely","Never","Sometimes","Rarely","Rarely","Never","Never","Never","Very frequently","Rarely","Rarely","Sometimes","Rarely",2,1,1,1,"No effect"
"176","8/28/2022 21:30:41",20,"Spotify",3,"No","No","No","Rock","Yes","No",136,"Never","Very frequently","Never","Never","Never","Never","Never","Never","Never","Never","Very frequently","Very frequently","Never","Sometimes","Very frequently","Rarely",10,10,7,3,"Improve"
"177","8/28/2022 21:31:40",18,"Spotify",3,"Yes","No","No","Rap","Yes","Yes",155,"Rarely","Never","Never","Sometimes","Never","Very frequently","Sometimes","Never","Sometimes","Sometimes","Never","Very frequently","Rarely","Very frequently","Very frequently","Very frequently",8,9,0,0,"Improve"
"178","8/28/2022 21:48:12",19,"Spotify",6,"Yes","No","No","Rock","Yes","Yes",52,"Never","Never","Rarely","Very frequently","Never","Rarely","Rarely","Never","Very frequently","Rarely","Sometimes","Very frequently","Rarely","Sometimes","Very frequently","Rarely",4,2,0,0,"Improve"
"179","8/28/2022 21:48:29",37,"Spotify",4,"Yes","No","No","Rock","Yes","No",97,"Rarely","Sometimes","Sometimes","Sometimes","Never","Very frequently","Rarely","Never","Never","Sometimes","Sometimes","Sometimes","Very frequently","Very frequently","Very frequently","Never",9,2,7,7,"Improve"
"180","8/28/2022 21:52:44",31,"Spotify",2,"Yes","No","No","Metal","Yes","Yes",92,"Sometimes","Rarely","Rarely","Sometimes","Never","Sometimes","Rarely","Rarely","Sometimes","Very frequently","Very frequently","Sometimes","Sometimes","Sometimes","Very frequently","Very frequently",8,6,7,5,"Improve"
"181","8/28/2022 21:54:05",29,"Spotify",2,"Yes","Yes","No","Folk","Yes","Yes",100,"Never","Sometimes","Rarely","Very frequently","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Rarely","Very frequently","Rarely","Very frequently","Rarely",6,5,4,2,"Improve"
"182","8/28/2022 21:55:05",20,"Spotify",3,"Yes","No","No","Rock","Yes","Yes",120,"Sometimes","Rarely","Rarely","Very frequently","Never","Rarely","Sometimes","Never","Never","Sometimes","Sometimes","Very frequently","Rarely","Rarely","Very frequently","Sometimes",8,5,2,3,"Improve"
"183","8/28/2022 21:55:22",36,"Other",8,"Yes","Yes","Yes","Video game music","No","Yes",143,"Sometimes","Rarely","Sometimes","Rarely","Never","Rarely","Rarely","Never","Never","Never","Very frequently","Rarely","Never","Rarely","Sometimes","Very frequently",7,6,6,1,"No effect"
